Email,Password,Rented,Subscriptions,Type,Courses,TextBooks
test@gmail.com,Password123#,BLANK,BLANK,Student,BLANK,BLANK
Vist@gmail.com,Pp)0,BLANK,BLANK,Visitor,BLANK,BLANK
Fac@gmail.com,Fac@2,BLANK,BLANK,Faculty,BLANK,BLANK
Non@hotmail.com,Non@1,BLANK,BLANK,NonFaculty,BLANK,BLANK
www@gmail.com,Sick12@!,BLANK,BLANK,Visitor,BLANK,BLANK
verify@gmail.com,Q!w2,BLANK,BLANK,Student,BLANK,BLANK
v10@gmail.com,12!@qwQW,BLANK,BLANK,Student,BLANK,BLANK
v30@gmail.com,12!@qwQW,BLANK,BLANK,Faculty,BLANK,BLANK
v40@gmail.com,QAws@1,BLANK,BLANK,Student,BLANK,BLANK
Awesome@gmail.com,Ws@2,BLANK,BLANK,Student,BLANK,BLANK
Strike@gmail.com,When@Is2,BLANK,BLANK,Student,BLANK,BLANK
